gene,HR,coef,p_value,CI_lower,CI_upper,n_samples
GNAI3,1.0003534267328391,0.0003533642923229896,0.6938419046525327,0.9985949540754844,1.0021149959671134,265
CDC45,0.9998378537974808,-0.00016215934963589678,0.8750050832732941,0.9978197635488213,1.001860025633217,265
SCML2,0.999969214767398,-3.07857064770528e-05,0.9745208751465478,0.9980818519377229,1.0018601465813641,265
APOH,1.0002155565998674,0.00021553337088156958,0.9222738017257364,0.9958943960945598,1.004555466510921,265
NARF,1.0033223790587515,0.0033168721514312514,0.6706746497904057,0.9880998881366482,1.0187793849652769,265
CAV2,0.9986927177846228,-0.0013081374542129275,0.2619623457441473,0.996412715777458,1.0009779369162484,265
KLF6,0.9937230146352245,-0.00629676846635221,0.18274696101471355,0.9845607103664518,1.0029705831427889,265
SCMH1,0.9990349560822956,-0.0009655098723879413,0.675978494791812,0.9945218971254407,1.0035684949312544,265
TBX2,1.0021089965549088,0.002106775743581896,0.6007998197775766,0.9942320285060794,1.010048371188784,265
TBX4,0.9991560281330204,-0.0008443282117465669,0.4802202128780684,0.9968165940924038,1.0015009526035343,265
NGFR,0.9964236521965586,-0.0035827582237391883,0.22001796848277,0.9907350394582727,1.002144927870541,265
WNT3,0.995902738463952,-0.0041056783104465025,0.25108711918403587,0.9889445676213501,1.0029098666931051,265
WNT9A,0.9986203261633716,-0.0013806264628860542,0.49984988306004163,0.9946233948380844,1.0026333193067318,265
FER,0.9980047496153406,-0.001997243548389987,0.05491082137997804,0.9959716320377042,1.0000420174789404,265
XPO6,0.9982766665057345,-0.001724820141670183,0.5759518567812756,0.9922610473745853,1.0043287555493394,265
TFE3,1.0005966950785354,0.0005965171268121207,0.7033685055001578,0.9975291393746774,1.0036736839885274,265
AXIN2,0.9987129266135704,-0.0012879023767713804,0.4950378696505976,0.995025004303961,1.0024145176962285,265
BRAT1,0.9916049528099892,-0.008430484067551704,0.3465890291547882,0.9743490034740554,1.0091665090551747,265
GNA12,0.9960122504283645,-0.003995721846306758,0.5890553957029321,0.9816770133496066,1.0105568221653751,265
SLC22A18,0.9778522670094434,-0.022396676585023756,0.32989797458141523,0.9347741200746623,1.0229156280226654,265
PIH1D2,0.9903471779543556,-0.00969971252666549,0.26124154812369804,0.9737296325568489,1.0072483162567152,265
DLAT,1.0006914479163278,0.0006912089763539098,0.9218144634497092,0.9869737691585074,1.0145997849432764,265
FGF23,0.9959207642961537,-0.004087578481644133,0.18307259172069446,0.9899457434244918,1.00193184863357,265
FGF6,0.9868364165118089,-0.013250991368003054,0.027934072211402206,0.9752457283724605,0.9985648587039414,265
CCND2,0.9928708139596034,-0.007154720117695003,0.45674117557259,0.9743378512914194,1.011756293678013,265
GPR107,1.0062851168611284,0.0062654478856677106,0.7960912384855571,0.9595831467739439,1.0552600260024816,265
NALCN,0.9958654574208624,-0.004143113432837709,0.7088432342348727,0.974442674884276,1.0177592123639727,265
BTBD17,0.9911088661325506,-0.008930895859764205,0.6413371679364237,0.9545575579325439,1.02905977367576,265
TH,0.9941326613401686,-0.005884619117992869,0.22356209625135032,0.9847565103646355,1.003598085355474,265
SCNN1G,0.9974788160563994,-0.0025243674798187126,0.947619395007631,0.9251168002536048,1.0755009402148181,265
DRP2,1.0072385152665868,0.0072124429558983235,0.4903411059091126,0.9868061735761859,1.0280939193557974,265
TSPAN32,1.0004502371207868,0.000450135794467121,0.9087730214775313,0.9927769135453304,1.0081828689797967,265
LHX2,0.9976747897798774,-0.002327917719223798,0.20424711888056296,0.9940956653824142,1.0012668003933243,265
GMPR,0.9904769171382922,-0.00956871736718256,0.8357741320977198,0.9048035059542802,1.0842625132725199,265
GLRA1,1.0048294224628929,0.004817798212816651,0.6971718415823254,0.9807401598041016,1.0295103735211482,265
MID2,0.9991540464171431,-0.0008463116035160016,0.8191830276725912,0.9919302129273507,1.0064304882150685,265
TRIM25,0.9974008508947891,-0.0026025327575962785,0.7622926354311867,0.9807217470521763,1.014363615730776,265
DGKE,1.0070861413460785,0.007061152626110953,0.6320233763118375,0.9783980009833609,1.0366154622883188,265
SCPEP1,0.9959657129617145,-0.00404244672731816,0.37423241071073265,0.9871245638107279,1.004886047578422,265
HDDC2,1.0047700027834618,0.004758662368426984,0.9109228856720392,0.9244005662854188,1.092126936432192,265
TPD52L1,0.9908926857938097,-0.009149039321244385,0.5683963082238914,0.9602271269646875,1.022537571775743,265
PEMT,0.9988279630718813,-0.001172724300535666,0.40515895838102345,0.9960738562413475,1.0015896849044417,265
CDH1,0.9894140865434069,-0.010642342829392495,0.6669803777303623,0.9425961277099155,1.0385574541123022,265
CDH4,0.9962400785519225,-0.003767007720854736,0.6155427877857247,0.9817001310526002,1.0109953770190157,265
BCL6B,0.9864737517981083,-0.013618561275266498,0.5656332941095652,0.9416891075603808,1.0333882543334385,265
ALOX12,0.982397529403882,-0.017759236450033362,0.4665461083820932,0.9365386868079058,1.0305019102502966,265
COMT,0.9964507233458427,-0.0035555902801719,0.5218472460288877,0.985667821445693,1.0073515868663865,265
RTCA,1.001940243559636,0.0019383637182746956,0.7035135528051479,0.9919882230007129,1.011992106748652,265
DBT,0.997006169283474,-0.002998321192428456,0.4004827808431415,0.9900617568723221,1.0039992906397006,265
DAZAP2,1.011818505359726,0.011749212251564122,0.7827284403599923,0.9307572839551282,1.099939485230766,265
MCTS1,0.9994610631686427,-0.0005390821100111177,0.8945054731152756,0.9915291367358096,1.007456442559745,265
REM1,0.9984539305615793,-0.0015472658370776892,0.11058866036599187,0.9965580227852603,1.000353445218997,265
RNF17,1.000695035362135,0.000694793936917268,0.9274903589637382,0.9858320617681519,1.0157820917310882,265
TRAPPC10,0.9915190103615777,-0.008517157871167904,0.13809227942374944,0.9804201023613242,1.0027435642543434,265
CCM2,0.9984989680104107,-0.0015021596667005137,0.8220937531483151,0.9855100421434466,1.0116590866485924,265
TBRG4,0.9975955116444115,-0.002407383779988752,0.6477198880451503,0.987347115475906,1.0079502833948983,265
TMPRSS2,1.0047795666773214,0.004768180813759249,0.7399828477130248,0.976880140744412,1.0334757924784244,265
FAP,1.0002428830978016,0.00024285360647721295,0.9124194489586981,0.9959235550107803,1.0045809441438232,265
GCG,0.9953164952737603,-0.004694506699804504,0.24627195038212563,0.9874492195983875,1.0032464516676183,265
NDUFA9,0.9952877018071065,-0.0047234360738086945,0.09441462280840272,0.9897939051770065,1.000811991453232,265
EGFL6,1.0099855321780775,0.009936006174409458,0.7158966387965475,0.9573634425798925,1.0655000283488565,265
LCK,0.9977778142027096,-0.0022246585160555273,0.2028568283853887,0.9943673100156503,1.0012000158165575,265
TSSK3,1.016204747946767,0.01607485242279584,0.6589334836075486,0.9461963957244172,1.091392964944586,265
CTTNBP2,0.9969501081030316,-0.0030545522954801277,0.322513267310301,0.9909352572209589,1.00300146836437,265
GALNT1,0.9998465782546898,-0.00015343351563010499,0.8759658841130838,0.9979220613326683,1.0017748066543173,265
MYF5,0.990593197213404,-0.009451326191168152,0.4598606576317902,0.9660734677765466,1.015735257302857,265
MKRN2,0.9997347237213895,-0.00026531147058643696,0.8207872331050473,0.9974424847728839,1.0020322305018525,265
PPARG,0.9979902684354192,-0.0020117537849293596,0.04360277210844633,0.9960420950362688,0.9999422522956053,265
RAF1,0.9589337912226983,-0.041933245874417185,0.18236157856843557,0.9016170486224965,1.01989421934029,265
SEPTIN1,0.9991928441963202,-0.0008074817293193164,0.6715628312409887,0.9954702148606146,1.0029293945604645,265
PDGFB,0.9988990351560394,-0.0011015713509573348,0.3415324220137159,0.9966341600860319,1.0011690572090504,265
ACVRL1,1.000130666159309,0.00013065762322997585,0.9836180572062587,0.9877347582860216,1.0126821406264759,265
TAMALIN,0.9989730595488872,-0.001027468115742366,0.2865257162094901,0.997087263289413,1.0008624224245073,265
ACVR1B,0.9991338548848985,-0.0008665204355187405,0.6780227271434912,0.9950549447553759,1.0032294852045294,265
TOM1L2,1.0000792630121105,7.925987096392805e-05,0.957014318016383,0.9972010947735057,1.0029657383539197,265
GPA33,1.0026983248052215,0.0026946908624150435,0.6757230879076757,0.9901179380570366,1.0154385572896065,265
ZNF385A,0.9924367191508668,-0.007592027495433506,0.5429009757847164,0.9684596117050615,1.017007451436076,265
ITGA5,0.9975435011677618,-0.0024595209757705574,0.22271383240125245,0.993607581773662,1.0014950116883392,265
GABRA2,1.0011740818355939,0.00117339314051904,0.7040878419113095,0.9951301053418928,1.00725476674728,265
WDR77,0.9996726901298789,-0.0003273634476879755,0.7475700694590925,0.9976817581652372,1.001667595115031,265
ADORA3,1.0002752942089086,0.0002752563224110192,0.8008042922627199,0.9981387467155265,1.0024164150496402,265
ATP5PB,0.9997218459119775,-0.00027819278004596074,0.7777264249332833,0.9977926832529522,1.001654738472642,265
SOX9,1.0000236883307287,2.3688050164571814e-05,0.9918493782895549,0.9954890470555223,1.0045789857563525,265
HNRNPD,0.9987512066444987,-0.0012495737476904934,0.44078078008016985,0.9955831466529265,1.001929347767058,265
C1D,1.0068537355986298,0.006830355519264787,0.2957780863815365,0.9940438914818344,1.0198286550281983,265
GM2A,0.9994132997993388,-0.0005868723765710994,0.7147014831761753,0.996273456778768,1.002563038310075,265
KRIT1,0.9958760417737365,-0.004132485193301251,0.7324663377197165,0.9725576492078525,1.0197535245203406,265
CLCN4,0.9928765290156722,-0.007148964041939412,0.41018504555062796,0.9761271856226885,1.0099132739975352,265
GRM6,0.9967847110503889,-0.003220469097888592,0.3798491615924766,0.9896458644040078,1.0039750540282089,265
SEMA4F,0.9982444954150762,-0.001757047288844679,0.34195735362725516,0.9946335673924465,1.0018685325882635,265
HK2,0.9997492218383712,-0.00025080961173014067,0.8363448223807771,0.9973729445923869,1.002131160651155,265
MYO18A,1.0008654415910536,0.0008650673124085961,0.6164975752760673,0.9974827936291516,1.004259560735524,265
SEZ6,0.9993122682097362,-0.0006879683862541307,0.5285435319838439,0.9971765025573419,1.0014526082728894,265
HAAO,0.9962456240725639,-0.0037614412862911014,0.12301701393235086,0.9914946655436918,1.0010193478342984,265
CD52,0.9982599165088245,-0.001741599195009711,0.6631893079705979,0.990466338686127,1.0061148188338358,265
ABHD15,0.9986784430115556,-0.0013224310150167738,0.8740757799399721,0.9824784024101118,1.01514560532768,265
HOXB6,0.9978022082204399,-0.0022002104684128985,0.06838511718287249,0.9954439850636918,1.0001660180465939,265
LOXL3,1.0020541334198823,0.0020520265724992175,0.46291953146122955,0.9965788245899168,1.0075595241721642,265
BTN1A1,0.9966722489438435,-0.003333300334199821,0.37228662181315086,0.9894007426184585,1.0039971965109442,265
KAT2B,0.9998887873191997,-0.00011121886538905128,0.973074339275681,0.9934520195462844,1.0063672601554168,265
RAB5B,0.998095399425263,-0.001906416632688089,0.5112486098132651,0.9924342109968506,1.0037888812329914,265
CRYBA1,0.9989159275381614,-0.00108466049340762,0.5531291096875258,0.9953417092429973,1.0025029806580925,265
DNMT3L,0.9993541682413757,-0.0006460403977899526,0.7340616563846254,0.9956363577926478,1.0030858613837441,265
AIRE,0.999591263239353,-0.0004088203162858153,0.736719182745021,0.9972117595346123,1.0019764448132389,265
SPG7,0.9995287934611773,-0.000471317591511065,0.9591167747366312,0.9816781215848184,1.0177040589893973,265
CHMP1A,0.9983313934350809,-0.001670000239398771,0.39119050307573555,0.9945277775734905,1.0021495563952527,265
RPA1,0.9987139050294956,-0.001286922700410047,0.1810652890008706,0.9968322318672407,1.0005991301373802,265
SERPINF1,1.0000945855627827,9.45810898505145e-05,0.9878959980998324,0.9879484754941064,1.0123900232466738,265
TUBGCP3,0.9995954766659282,-0.00040460517570774387,0.7604860245636768,0.9969985279628215,1.0021991898148965,265
OPRM1,0.9974124483012022,-0.002590905196843686,0.08347180942769224,0.994490526333938,1.0003429551948753,265
POLR3D,1.009637683617174,0.009591537402588462,0.7020731502039452,0.9612186797335901,1.0604956745767564,265
TCF7,1.0031198497974838,0.003114993164792215,0.6407564845706155,0.9900810732965133,1.0163303391987688,265
DDX3X,1.0008345331272386,0.0008341850980826949,0.7140999630887808,0.9963779543795659,1.0053110451683436,265
IL12RB1,0.9954406308657049,-0.004569794759331667,0.6712985996486982,0.9746511280517794,1.0166735779180973,265
SLC5A5,1.0233052786044363,0.02303785751067208,0.5384559013892796,0.9508828617576465,1.1012436287726397,265
KCNN3,0.999065568360983,-0.0009348684924220367,0.8850713803348413,0.9864808197285807,1.0118108633466172,265
CA4,0.9941362945574926,-0.005880964464216467,0.12245316940794493,0.9867450287343027,1.001582925048229,265
TXNRD3,0.997322029234171,-0.002681562944139328,0.9329483530323353,0.9369277338110165,1.0616093366667179,265
FASLG,0.9749286054205658,-0.025391035875062556,0.22366643859127963,0.9358608374117706,1.015627268148078,265
