gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
GNAI3,0.8298819245748701,-0.18647184785969204,0.21014835232609475,0.6199492810703783,1.110903794495903,256,age+stage+tumor_fraction,zscore
CDC45,0.7422158314081514,-0.2981152002029738,0.06776636282141935,0.5390192935078619,1.022012286068306,256,age+stage+tumor_fraction,zscore
SCML2,0.7647459168627481,-0.26821163514452373,0.07354955341492875,0.5700745845447408,1.0258943885830183,256,age+stage+tumor_fraction,zscore
APOH,0.8016948518707099,-0.22102722746974046,0.17965950935870045,0.5804914754260522,1.1071904803499113,256,age+stage+tumor_fraction,zscore
NARF,0.9490455434982372,-0.05229849048239645,0.7383768977904879,0.6982410217454615,1.289937737233381,256,age+stage+tumor_fraction,zscore
CAV2,0.7020455999365387,-0.3537569198913953,0.012219797885646661,0.532345403213229,0.9258425477430825,256,age+stage+tumor_fraction,zscore
KLF6,0.9727306310343102,-0.027648078871291077,0.8587295236412066,0.71741825697887,1.3189027061242964,256,age+stage+tumor_fraction,zscore
SCMH1,0.7039614228721881,-0.3510317213820592,0.01962515092946962,0.5242012099228204,0.9453653969345064,256,age+stage+tumor_fraction,zscore
TBX2,0.8467940354556492,-0.16629778337442275,0.3212018611975878,0.6096520325670512,1.1761793616334726,256,age+stage+tumor_fraction,zscore
TBX4,0.7195705090704302,-0.3291007601379586,0.022447842803070776,0.5424433130676997,0.9545360870901844,256,age+stage+tumor_fraction,zscore
NGFR,0.6895036263113322,-0.3717833224278288,0.0064029973517110835,0.5277922522594614,0.9007620870924878,256,age+stage+tumor_fraction,zscore
WNT3,0.8515370579166796,-0.16071225907867903,0.33320532106255474,0.6149441953893563,1.1791563631985866,256,age+stage+tumor_fraction,zscore
WNT9A,0.7143837517328644,-0.33633499361345537,0.033908170653960866,0.5235565884192522,0.9747640580376972,256,age+stage+tumor_fraction,zscore
FER,0.6989069925217113,-0.35823760351016926,0.009239227056075282,0.5336741272777661,0.915298230190396,256,age+stage+tumor_fraction,zscore
XPO6,0.6664485980005959,-0.40579226461712575,0.012729427286768968,0.48430284665311746,0.9170991598467425,256,age+stage+tumor_fraction,zscore
TFE3,0.7597201376533893,-0.27480515344848333,0.09109411960700177,0.5523499606526456,1.0449438375520232,256,age+stage+tumor_fraction,zscore
AXIN2,0.703289242705432,-0.35198703124165753,0.019967658240050874,0.5228497545422092,0.9459997917341475,256,age+stage+tumor_fraction,zscore
BRAT1,0.7210772500314214,-0.32700900453585546,0.0319863764685226,0.5347973724725273,0.9722418756640152,256,age+stage+tumor_fraction,zscore
GNA12,0.9225280030097229,-0.0806375479620803,0.6236434937780679,0.6684951145821747,1.2730951921302205,256,age+stage+tumor_fraction,zscore
SLC22A18,0.9666204339486449,-0.03394937976910408,0.8318705653458492,0.706545896592081,1.3224265653990621,256,age+stage+tumor_fraction,zscore
PIH1D2,0.8722871436995547,-0.13663661604484056,0.39694484629936533,0.6358573437146396,1.1966282509508894,256,age+stage+tumor_fraction,zscore
