gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
GNAI3,1.3000344513333695,0.26239076514201387,0.1390690645175122,0.9182683688579795,1.8405181229922623,256,age+stage+tumor_fraction,zscore
CDC45,1.2368861694221438,0.2125970676903775,0.21555701161767005,0.8835003934200476,1.731620503512805,256,age+stage+tumor_fraction,zscore
SCML2,1.327498300811307,0.2832961941416552,0.08352462814465854,0.9631481492384781,1.8296787883050472,256,age+stage+tumor_fraction,zscore
APOH,1.2977940667111438,0.26066595138922827,0.1693715143016286,0.8948457302653074,1.8821897256986297,256,age+stage+tumor_fraction,zscore
NARF,1.124246389806867,0.11711293546216026,0.5746105526913906,0.7468848887908909,1.6922687337267082,256,age+stage+tumor_fraction,zscore
CAV2,1.294612647293255,0.2582115363487059,0.1306329450162061,0.9262721510145161,1.8094270724818373,256,age+stage+tumor_fraction,zscore
KLF6,0.6140097266866789,-0.48774450945122105,0.000442391034212919,0.4677441714440779,0.8060131317123723,256,age+stage+tumor_fraction,zscore
SCMH1,1.2827955740096866,0.24904173857341658,0.09801528057617086,0.9550703873522622,1.7229771820910846,256,age+stage+tumor_fraction,zscore
TBX2,1.1759801119309303,0.1621019377100736,0.25437571564791495,0.8898992808722646,1.5540289259494169,256,age+stage+tumor_fraction,zscore
TBX4,1.3179348254251555,0.27606598525609244,0.11888163816702461,0.9315603308060791,1.8645622260078965,256,age+stage+tumor_fraction,zscore
NGFR,1.1090127808254677,0.10347023294155816,0.5886675081830544,0.7621985931820348,1.6136337157217753,256,age+stage+tumor_fraction,zscore
WNT3,0.726939581692887,-0.31891191123929763,0.1864351449216699,0.45293371782149594,1.1667074775830475,256,age+stage+tumor_fraction,zscore
WNT9A,1.2522996479046467,0.2249815794288601,0.21539777689078557,0.8772568159736203,1.7876799354378123,256,age+stage+tumor_fraction,zscore
FER,1.1303857410009452,0.12255893819056221,0.44954440925341277,0.8227464750773434,1.5530566974937658,256,age+stage+tumor_fraction,zscore
XPO6,1.2069906836688469,0.18813022350138647,0.15919958737926465,0.9288631829340569,1.568397302454839,256,age+stage+tumor_fraction,zscore
TFE3,1.2740539381284408,0.24220389387420008,0.09297313015758288,0.9604284480134038,1.6900930419315685,256,age+stage+tumor_fraction,zscore
AXIN2,1.2283989839302862,0.20571168243528407,0.22642358442000154,0.8802010190405323,1.7143402825934169,256,age+stage+tumor_fraction,zscore
BRAT1,1.226784680727476,0.20439666599991246,0.36211541515069445,0.7904237002549064,1.9040429232856537,256,age+stage+tumor_fraction,zscore
GNA12,0.8068708213563501,-0.21459169619389637,0.21409373704478182,0.5751484743286807,1.131952098310219,256,age+stage+tumor_fraction,zscore
SLC22A18,0.757975549255009,-0.2771041507795442,0.04026965222282283,0.5816349283029059,0.9877792844126246,256,age+stage+tumor_fraction,zscore
PIH1D2,0.7978688123533784,-0.2258110905939022,0.27782069258633846,0.530659497935247,1.1996292240186572,256,age+stage+tumor_fraction,zscore
DLAT,1.4292359430466202,0.3571399959179297,0.02984934120899415,1.0354926736797812,1.972699018368967,256,age+stage+tumor_fraction,zscore
FGF23,0.9360476196095602,-0.06608892814742759,0.7608088934191167,0.6116502403823459,1.432493749416359,256,age+stage+tumor_fraction,zscore
FGF6,0.9596680149456328,-0.04116787209397336,0.8021007978864895,0.6955114600024308,1.3241517241232408,256,age+stage+tumor_fraction,zscore
CCND2,0.7555930158236008,-0.2802523866166639,0.05133709086179978,0.5699926803525551,1.001628310750017,256,age+stage+tumor_fraction,zscore
GPR107,1.1997520228630432,0.1821148878252637,0.19825523008163298,0.9090763376137275,1.5833707872567864,256,age+stage+tumor_fraction,zscore
NALCN,0.6552103413211872,-0.4227989631105894,0.002274543218844594,0.4994080545751802,0.8596188776719066,256,age+stage+tumor_fraction,zscore
