gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
GNAI3,0.5963580696840207,-0.516914004257245,0.30518697989742766,0.2220225726196528,1.6018323861443757,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.39832448936512244
CDC45,0.31126132803917717,-1.1671224365589195,0.07137716067654137,0.08752755162869494,1.1068927729603035,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.16759004585579282
SCML2,0.33239400239446887,-1.1014342595015665,0.09068507520495325,0.0927860883065936,1.19075795568335,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.18840950532859574
APOH,0.5568083219181152,-0.5855342240999907,0.19917759314061798,0.22777548801382996,1.3611451787930877,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.29863538055078187
NARF,0.9344251700993663,-0.06782373009271349,0.8614858834042588,0.4361861083864178,2.001784058977194,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.8810695002856537
CAV2,0.05346552452415002,-2.928718234213766,0.013543677989901966,0.0052292651487308665,0.5466470395627683,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
SCMH1,0.12617189090545247,-2.070110088189169,0.020175818262096915,0.022001187155759792,0.723567593964574,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
TBX2,0.7289739238492903,-0.31611731736729193,0.4266274811211517,0.334377403710564,1.5892311374969923,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5064650689431466
TBX4,0.1444909996630979,-1.9345380594380346,0.025874736646661026,0.02635022706302602,0.7923138170196776,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.12871663574028444
NGFR,0.05917946093331788,-2.8271807409850194,0.007779243776937436,0.007378748988311316,0.47463446742882126,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
WNT3,0.539463406113827,-0.6171803258452029,0.35431432314206435,0.14614707594912638,1.9912869597010336,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.44214936109616915
WNT9A,0.13332555115281444,-2.0149613885995383,0.03633262122375469,0.020207931750304556,0.879639876551634,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.13531834697845668
FER,0.0491063373045344,-3.0137671831716064,0.009096617155817737,0.005100969731589762,0.47273998677799717,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
XPO6,0.05425962061868856,-2.91397496369086,0.01099407398193388,0.005741930353606947,0.5127380947479787,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
TFE3,0.3516441563710637,-1.045135534108078,0.09657895738268915,0.10250044671741974,1.2063714517343893,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.19359671700469583
AXIN2,0.0905111003829953,-2.4022827796322153,0.020561983258001067,0.011851212368843289,0.6912591756500805,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
BRAT1,0.2941760632849911,-1.2235768361745274,0.060853736890044426,0.08184717721880962,1.0573309813544443,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.15779584753755452
PIH1D2,0.6774313307518394,-0.38944708818908436,0.5595788105815698,0.1831105933412776,2.5062078578320994,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.6191537409856913
DLAT,0.8341023435197491,-0.1813991700996867,0.5910111384623472,0.43040890817417504,1.6164319702778909,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.6462988199208062
FGF23,0.5426906729159453,-0.6112157845061174,0.25793495115418785,0.18821816258293814,1.564743606187233,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.35494059057827215
FGF6,0.39270750760164924,-0.934690199675012,0.1590756567672773,0.10692532288783645,1.4423074194358407,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2574257626903361
GPR107,0.48504672165803414,-0.7235100593688755,0.18702321685758366,0.16558809781564982,1.4208166244722145,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.28634462520554926
SCNN1G,0.6152264606827488,-0.4857648502027508,0.5026144420562204,0.14867792319501347,2.5457955679657793,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5703831500168376
DRP2,0.623383767188692,-0.4725929511462632,0.25424959631383115,0.27663856039033047,1.4047474822239159,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.3513916459967935
TSPAN32,0.1955945176888084,-1.631711549950043,0.03318521508801467,0.04357458838775247,0.8779707798839597,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.13276160816051696
LHX2,0.34112941005783975,-1.0754933720552586,0.3043529572404827,0.04381770309364777,2.6557593436083096,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.3975014702232699
GMPR,1.2321586168963399,0.2087676043048779,0.6111637411536386,0.5509867020681578,2.7554473665030415,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.6644055709210965
GLRA1,0.14939574119347004,-1.90115651275753,0.05346237377296568,0.02169524293532629,1.0287549004765555,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.15062060723561443
MID2,0.7206642129231494,-0.32758197428138175,0.526942717392539,0.26122049691733784,1.9881935526387529,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5907373398178488
TRIM25,0.5644808755346935,-0.5718487745585299,0.2997231340637161,0.19154485925817105,1.6635197628297684,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.39310637750186467
DGKE,0.6266667161002895,-0.46734043294281435,0.26300376210584,0.27646578678192546,1.4204693377762836,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.35960236472274054
HDDC2,0.991000453854732,-0.009040286675733254,0.9842373806645475,0.4041869763452036,2.4297712618565894,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.9861842238350927
PEMT,0.12771748139233216,-2.0579346310893714,0.04746660533825791,0.01669120945808093,0.9772662127431088,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.14507279580141977
RTCA,0.3730313647987207,-0.9860927749412866,0.11120603871020149,0.11085881318718131,1.2552218008020897,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.20921114050060874
DBT,0.20098997588955494,-1.6045002433629147,0.06009757845079744,0.037734601017129256,1.0705551223331096,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.15698139428410174
DAZAP2,1.0715728466354053,0.069127519281242,0.8693904996648999,0.47008519416608874,2.4426814115753754,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.8878260183615945
MCTS1,0.8382497585096833,-0.17643918172449763,0.5506630992663053,0.4695787665884057,1.4963680379897562,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.6114653900028626
REM1,0.8603016153919727,-0.15047223564885284,0.7703638390874303,0.3132285316106947,2.3628718164343865,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.8020298566795148
RNF17,0.5555040436250187,-0.587879390675987,0.24351979890529588,0.20682858625219358,1.4919830381061452,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.34147873526323125
TRAPPC10,0.03009591286135368,-3.5033659017840577,0.01716104193637935,0.001687484125876914,0.5367540690123564,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
FAP,0.235358837847635,-1.4466439599061776,0.08179720919528932,0.0461509701702658,1.2002734145918024,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1793919327105481
NDUFA9,0.9305518609333,-0.07197746997330541,0.8836507867885013,0.35488224250393136,2.4400397150805175,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.9001036576231721
EGFL6,0.6059862836718759,-0.5008979273738053,0.49140093041055777,0.14548568221872232,2.524092889404579,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5614310020236571
LCK,0.07879740961348539,-2.5408751555839424,0.02853834604559247,0.008106730754373296,0.7659106919821959,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1291591525034971
TSSK3,0.6301946664557878,-0.46172651295122225,0.43623084385943356,0.1970955965142987,2.0149882831122,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5148582219180244
CTTNBP2,0.09918414697909912,-2.3107770861405137,0.006616493273491226,0.018711981258408786,0.5257324104870383,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
GALNT1,0.1751212144415738,-1.7422768908808073,0.04877129202596754,0.030956795339201416,0.9906529216432386,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.14647451933227013
MYF5,0.3248643967962369,-1.1243474243484533,0.08180219961051267,0.09157518955272204,1.1524614562225146,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1793919327105481
MKRN2,0.46583346329426095,-0.7639270836351403,0.1832511156652782,0.151221837652156,1.4349833257804732,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2825065215174219
PPARG,0.027400197201092616,-3.5972050684938432,0.004187885763515559,0.0023361899720766998,0.32136547782173036,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
RAF1,0.23809474265050168,-1.4350866061593806,0.10043424576089656,0.042968611481373646,1.319314367474561,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.19785641524277547
