gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
GNAI3,1.3000344513333693,0.2623907651420138,0.1390690645175122,0.9182683688579795,1.8405181229922623,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.44729766270717286
CDC45,1.2368861694221438,0.2125970676903775,0.21555701161767005,0.8835003934200476,1.731620503512805,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5223022961801671
SCML2,1.327498300811307,0.28329619414165524,0.0835246281446585,0.9631481492384781,1.8296787883050474,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3695865110012311
APOH,1.2977940667111438,0.26066595138922827,0.1693715143016286,0.8948457302653074,1.8821897256986297,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.48322709946159037
NARF,1.1242463898068669,0.11711293546216012,0.574610552691391,0.7468848887908907,1.692268733726708,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7787124315266034
CAV2,1.294612647293255,0.25821153634870586,0.1306329450162061,0.9262721510145161,1.8094270724818373,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.438607030274043
KLF6,0.6140097266866789,-0.48774450945122105,0.000442391034212919,0.4677441714440779,0.8060131317123723,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.08056203956656578
SCMH1,1.2827955740096866,0.24904173857341666,0.09801528057617082,0.9550703873522622,1.7229771820910849,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.39338430362677623
TBX2,1.1759801119309303,0.16210193771007358,0.25437571564791506,0.8898992808722646,1.5540289259494169,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5559077642419041
TBX4,1.3179348254251557,0.2760659852560926,0.11888163816702446,0.9315603308060794,1.8645622260078965,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4220860686340253
NGFR,1.1090127808254675,0.10347023294155804,0.5886675081830548,0.7621985931820346,1.6136337157217753,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7870780508904934
WNT3,0.7269395816928869,-0.3189119112392977,0.18643514492167,0.45293371782149583,1.1667074775830477,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.49731507784761503
WNT9A,1.2522996479046467,0.2249815794288601,0.21539777689078557,0.8772568159736203,1.7876799354378123,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5221573493027859
FER,1.1303857410009452,0.1225589381905622,0.44954440925341277,0.8227464750773434,1.5530566974937658,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6973979774151841
XPO6,1.2069906836688469,0.18813022350138642,0.1591995873792647,0.9288631829340569,1.568397302454839,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4718788371585918
TFE3,1.2740539381284408,0.24220389387420008,0.09297313015758288,0.9604284480134038,1.6900930419315685,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.38626741447887847
AXIN2,1.2283989839302865,0.20571168243528432,0.22642358442000093,0.8802010190405325,1.7143402825934169,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5324374538779776
BRAT1,1.226784680727476,0.2043966659999124,0.3621154151506947,0.7904237002549063,1.9040429232856537,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6345998605678489
GNA12,0.80687082135635,-0.21459169619389643,0.21409373704478174,0.5751484743286807,1.1319520983102187,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5209648194742923
SLC22A18,0.757975549255009,-0.2771041507795442,0.04026965222282283,0.5816349283029059,0.9877792844126246,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.2746878398593157
PIH1D2,0.7978688123533784,-0.22581109059390225,0.27782069258633824,0.530659497935247,1.1996292240186568,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5742648108465082
DLAT,1.4292359430466202,0.35713999591792966,0.02984934120899418,1.0354926736797812,1.9726990183689668,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.23887249817740072
FGF23,0.93604761960956,-0.06608892814742778,0.7608088934191161,0.6116502403823458,1.4324937494163583,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.884075644071166
FGF6,0.9596680149456328,-0.04116787209397326,0.8021007978864899,0.6955114600024309,1.3241517241232408,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9044622266501112
CCND2,0.7555930158236008,-0.28025238661666396,0.05133709086179978,0.569992680352555,1.001628310750017,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.30184583458011544
GPR107,1.1997520228630432,0.1821148878252637,0.19825523008163298,0.9090763376137275,1.5833707872567864,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.507654014362621
NALCN,0.6552103413211872,-0.42279896311058945,0.0022745432188445904,0.49940805457518017,0.8596188776719066,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.0856664604605482
BTBD17,0.786696104365712,-0.2399132495268606,0.12272013696623305,0.580092299902398,1.066883254144758,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.427091558477388
TH,0.6906730722352267,-0.3700886898420275,0.025702710722400594,0.49894264407862043,0.9560804200085155,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.22155230462410622
SCNN1G,1.115394606188656,0.10920824919746379,0.4401260860688818,0.8453046428355221,1.47178314712844,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6912256292422376
DRP2,1.2587071336101934,0.23008510974201554,0.13519651534594898,0.9307380110366706,1.7022444870780795,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4437833922257585
TSPAN32,1.3660906007504077,0.31195308453510395,0.07007275293779484,0.9747466320604489,1.9145524263200302,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.34247405956601534
LHX2,0.7086251050303074,-0.3444286581206298,0.13991765679887183,0.44853823074491617,1.1195245021706675,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.44783800704926047
GMPR,0.7881410065083614,-0.23807826286302206,0.0778119427318358,0.6049097429242418,1.0268742624927552,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3572471083364811
GLRA1,1.1984819059425844,0.18105567752559173,0.2137194446396064,0.9009183337215243,1.594327504623467,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5208823348045367
MID2,0.9151371149656559,-0.08868137251188647,0.5956809344558605,0.6595187710903915,1.2698288144294263,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7912784087186809
TRIM25,1.2785708716873943,0.24574294767959717,0.3037840036775164,0.8004149975156901,2.0423698693819365,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5931505013564592
DGKE,1.250460322034338,0.22351174115148248,0.12776302052899108,0.9378821109997328,1.6672148862242941,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.43480818887155775
SCPEP1,0.6228296388497664,-0.4734822504793632,0.0001798267491097668,0.486154303298553,0.7979292919916956,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.07852188738048618
HDDC2,0.8528434642069643,-0.1591792603977224,0.23784718978763286,0.6547592607732613,1.1108540466942844,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5426814609736071
TPD52L1,0.8545763747732309,-0.15714940093173996,0.3502991035001374,0.6145172682766729,1.1884137647890403,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6253586406557687
PEMT,1.4918269320338091,0.4000014977569878,0.008072694164045041,1.109652245139005,2.005626181437244,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.13322804025699833
CDH1,0.6530827589700303,-0.4260514211816937,0.0024344104033598136,0.49583167061558037,0.860205419178612,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.08655522532822253
CDH4,0.5927150945264221,-0.5230414431152617,0.00011053628963930939,0.4546646045441313,0.7726820600686676,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.07852188738048618
BCL6B,0.7686429185498517,-0.26312876250685485,0.11069741696796433,0.5562972147612929,1.0620436711881636,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.41131233739911716
ALOX12,0.747550971260727,-0.29095278706449706,0.02963986140210619,0.5751320681314891,0.9716593554736259,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.23791915237543923
COMT,0.7115526440483046,-0.34030587395985046,0.03807132359313381,0.51587687057783,0.981449632903724,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.2668549136374597
RTCA,1.2785358819815706,0.24571558104284996,0.11797199933138612,0.9395650447064257,1.7397986554780283,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.42046704217703035
DBT,1.1934938922583167,0.17688504927910093,0.4421907730748794,0.7601504403841249,1.873876005568193,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6920540337048943
DAZAP2,0.8876679656726165,-0.11915751844352515,0.38282698961539907,0.6792479151963571,1.16003950789246,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6498377939151099
MCTS1,1.2866153333330885,0.2520149976395011,0.23478757444138804,0.8489805805494061,1.9498432047721974,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5401348667841248
REM1,0.7166140546331884,-0.3332178613630784,0.04415761656393654,0.5180298786650993,0.9913244861882062,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.28535904836007975
RNF17,1.333810311702298,0.2880397422570329,0.12640804917467086,0.9218923988240649,1.9297804709884554,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.43290841791899337
TRAPPC10,0.9418260473874595,-0.05993468452873568,0.7856389571778761,0.6114977440799532,1.4505961994546708,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8969590437054622
CCM2,1.0633256865570504,0.061401436777127866,0.6992692157055356,0.7787040056778146,1.4519785534014946,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8507946732517332
TBRG4,0.8505349711625908,-0.16188974963460134,0.31536779855875263,0.6200738904412387,1.1666508593931888,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.601458533271637
TMPRSS2,1.1689413685990435,0.15609852605593677,0.2701451912937215,0.8857261837240314,1.542715963840069,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5696076246775283
FAP,1.3619376294725545,0.3089084133399737,0.05199767255730035,0.9973310822675694,1.859837860819508,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3034545653649562
GCG,0.7188356282626938,-0.3301225589924017,0.02937695134218775,0.5341151701424579,0.9674405247130541,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.23670840940821827
NDUFA9,0.715042166447575,-0.3354137639744781,0.0690709331132522,0.49806326710995286,1.0265468938611162,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3405352606587969
EGFL6,1.3165846623920252,0.27504100657775765,0.1872433596010633,0.8748313575730704,1.9814049396384843,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.498040786163733
LCK,0.8700716482010816,-0.13917971647031616,0.5548333830399639,0.5482007827813277,1.3809259249184933,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7671559860091883
TSSK3,0.9802162653031278,-0.01998205278277942,0.893905918924068,0.7307773753412237,1.3147970355762202,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9513627772306291
CTTNBP2,1.1794440077956279,0.16504314760326047,0.3930106710885194,0.8076213535220019,1.7224509498894969,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6566987427721951
GALNT1,1.344802020656518,0.2962468056814241,0.06362640111800255,0.9833417217913456,1.8391292006479072,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3284931855885866
