gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_transform,q_value
GNAI3,0.539652529501298,-0.6168298104220393,0.22651234349000798,0.19859727967641896,1.466409072025818,260,age+stage_num,log1p,0.29979219320702055
CDC45,0.3200408167977825,-1.139306738829422,0.0770648858551378,0.09050656366390518,1.1316983019811662,260,age+stage_num,log1p,0.1466967910703855
SCML2,0.31500759746992424,-1.1551585214952207,0.08365353044526146,0.08509666413786494,1.1660831534243437,260,age+stage_num,log1p,0.15355379625551482
APOH,0.5441494815778116,-0.6085312875597857,0.18539887716431475,0.22109821635525084,1.3392177611493843,260,age+stage_num,log1p,0.2593271060519874
NARF,0.8326898603611023,-0.1830940226355628,0.6206189192612346,0.40329052989434466,1.719287590833943,260,age+stage_num,log1p,0.6692056889574193
CAV2,0.05061862287650378,-2.9834357293615827,0.009644879998284771,0.005286464567543001,0.484680252591681,260,age+stage_num,log1p,0.08094766162165955
SCMH1,0.14151157310177054,-1.9553737765382664,0.031220295946929575,0.023887624811284505,0.8383221638795036,260,age+stage_num,log1p,0.093588466987351
TBX2,0.8110531776099141,-0.2094216565972404,0.5979086241484031,0.3724416128052763,1.7662023637918796,260,age+stage_num,log1p,0.6489640705085079
TBX4,0.13733190956146454,-1.98535458562535,0.022282262366523187,0.025024288191680642,0.7536699241686453,260,age+stage_num,log1p,0.08524741084359044
NGFR,0.0576446807879169,-2.853457303862784,0.005458397196773687,0.007702717899702256,0.4313943813610625,260,age+stage_num,log1p,0.08094766162165955
WNT3,0.4164331999832806,-0.8760292144319639,0.15097555821638362,0.12598110508569935,1.376528725719205,260,age+stage_num,log1p,0.22410383218205762
WNT9A,0.12791459586839912,-2.056392457530829,0.030544908327501563,0.01984510948673383,0.8244924950962715,260,age+stage_num,log1p,0.09298483029182346
FER,0.046574171074622916,-3.066709160299179,0.006542011601120715,0.005107366278492211,0.4247107595205832,260,age+stage_num,log1p,0.08094766162165955
XPO6,0.09611184269148038,-2.342242737596576,0.038299075965811,0.01048067045353951,0.8813831468608196,260,age+stage_num,log1p,0.10246520264488429
TFE3,0.3951417318176283,-0.928510763711452,0.15362868486174783,0.11036544171528669,1.4147271627528677,260,age+stage_num,log1p,0.22690923572938715
AXIN2,0.0889560382139715,-2.419612983936802,0.019224940780915977,0.011733902265018858,0.6743857717578183,260,age+stage_num,log1p,0.08242156699154851
BRAT1,0.23435491465803074,-1.4509185833887677,0.01943190621105872,0.06941288685632525,0.7912396171917475,260,age+stage_num,log1p,0.08269140673573433
PIH1D2,0.48498893349534944,-0.7236292058403399,0.23077631066442994,0.14850284197592675,1.5839041359968458,260,age+stage_num,log1p,0.3039021375849613
DLAT,0.8641030897198925,-0.1460632004903342,0.663944269963917,0.4471005795099964,1.6700361929340113,260,age+stage_num,log1p,0.7077208152362632
FGF23,0.4446148561453378,-0.8105468633784083,0.08474446961434201,0.17690511508933382,1.1174485836959178,260,age+stage_num,log1p,0.15501539533440628
FGF6,0.29796201150426993,-1.2107892787763563,0.053802807501500106,0.08704035255788901,1.020002305719336,260,age+stage_num,log1p,0.11976904267545849
GPR107,0.60626778291172,-0.5004335045227488,0.3635967742925039,0.20597282261372415,1.7845103054494025,260,age+stage_num,log1p,0.4336716736721528
SCNN1G,0.7005055602507482,-0.35595297569089845,0.6199430838875855,0.17157905441996216,2.8599530496370646,260,age+stage_num,log1p,0.6685823654258403
