gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
GNAI3,0.8130172509178591,-0.20700295081828773,0.3689174361631785,0.5176001942794597,1.2770417352918368,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
CDC45,0.8385052667029593,-0.17613441663787294,0.4408888580500826,0.5357620627483785,1.3123196492895552,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
SCML2,0.807604937194167,-0.21368227914687765,0.34592595802830906,0.517869157611053,1.2594411638436487,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
APOH,0.7705660676322805,-0.2606298814576444,0.24598394948799202,0.4961207441230683,1.196829746830712,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
NARF,0.8082958103616418,-0.21282718552727747,0.316591917772892,0.5329424288248907,1.2259149989029154,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
CAV2,0.9114689516597325,-0.09269774835116244,0.6849059809591953,0.5824912551489094,1.4262457032549105,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9470003912782724
KLF6,1.2198854944659954,0.19875699734523608,0.18842246632293047,0.9071702658426747,1.6403983636150419,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
SCMH1,0.8347775842426067,-0.18058995578957135,0.41000643247102453,0.5432410931762636,1.2827704382220153,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
TBX2,0.9182195754036278,-0.08531872806990846,0.6340128649813266,0.6462550956427862,1.3046352660721645,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9462780468141073
TBX4,0.7896311254205449,-0.23618937241416837,0.31046442292355636,0.5002691812402047,1.2463636330488523,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
NGFR,0.8966339702666649,-0.10910756010582291,0.6360859545462054,0.5706126022335293,1.4089287083553341,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9462780468141073
WNT3,1.029760021834023,0.02932578658484761,0.9052916623190932,0.635233996863036,1.669315099324326,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.978562614751902
WNT9A,0.8245186305720541,-0.19295554103152276,0.40086273721730337,0.5256428817147903,1.2933324045835481,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
FER,0.8359146204744732,-0.17922879973196915,0.43388961475349475,0.5335934632910637,1.30952363698996,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
XPO6,0.9292518602253512,-0.07337546795006547,0.7192775967549847,0.6228207672360025,1.3864486625332297,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9498731788527095
TFE3,0.8670868779316168,-0.14261610199502522,0.4989707153126395,0.5734735588717041,1.3110275831381406,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
AXIN2,0.8578536867370034,-0.15332172231432575,0.4982879407584022,0.550418007823662,1.3370073969019447,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
BRAT1,0.8533233110357424,-0.15861677512559946,0.5172013364190722,0.5280192463473206,1.3790419159797687,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
GNA12,1.0403086394773016,0.03951743785432717,0.7975251082600177,0.769217018469146,1.406939835425032,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.957342597942835
SLC22A18,1.092967345025739,0.08889633228490623,0.5550031665410652,0.8136093403161575,1.468244719054499,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
PIH1D2,1.0320634466989749,0.03156014452906445,0.901057881297699,0.6275197200282316,1.6974047571991002,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9776868913102771
DLAT,0.8046989647549403,-0.21728702832902547,0.30445191082753026,0.5315317072588411,1.2182536150422696,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
FGF23,0.8674392405429884,-0.1422098093339166,0.5869153485804565,0.5193261069694006,1.4488985358830266,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
FGF6,0.8750312395236889,-0.13349569094904767,0.562971504173723,0.5566422666291211,1.3755327542393032,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
CCND2,1.0409070182514355,0.040092466000401304,0.7911782443884772,0.773615421394246,1.4005504423533621,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9555875821576909
GPR107,0.822119227444125,-0.19586984889158277,0.24709486638725542,0.5900489299243362,1.1454643672008606,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
NALCN,1.1397213196364038,0.1307837760627585,0.34615763385947684,0.8682196157512203,1.4961245552023452,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.944537061551857
BTBD17,0.9834043711709402,-0.016734879056946733,0.9142395557764119,0.7252032549066425,1.3335353236419323,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9815134346507408
TH,1.0466913305611232,0.04563407520479272,0.7841294048761349,0.7551318599231693,1.4508230941060842,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9542488854823901
