gene,spearman_r,p_value,n_samples
GNAI3,-0.003963039366758044,0.9488039014234984,265
CDC45,0.01697745299953446,0.7832499703123634,265
SCML2,0.011062719117522454,0.8577475422782894,265
APOH,0.013180467271526752,0.830892184727575,265
NARF,-0.01452985460777949,0.8138802857545542,265
CAV2,-0.013090830550026569,0.8320251356971492,265
KLF6,0.032317907311815594,0.6004543403295185,265
SCMH1,0.05078371680935308,0.4103246787968876,265
TBX2,0.02445534812554964,0.6918973263815091,265
TBX4,-0.00027858319200056546,0.9963987062001446,265
NGFR,-0.009109734865268488,0.8826602144486932,265
WNT3,-0.06164362478362512,0.3174591856519296,265
WNT9A,0.010777042372021872,0.861383518454611,265
FER,-0.04385750668508902,0.4771365232027648,265
XPO6,0.1210985658782458,0.048921404790198394,265
TFE3,0.03521852582482148,0.5681467724785667,265
AXIN2,0.016829133244534156,0.7850971464945184,265
BRAT1,-0.05405126549885971,0.3808277136361693,265
GNA12,-0.026499581270553785,0.6676189816767164,265
SLC22A18,-0.04172428168708468,0.49884649190195796,265
PIH1D2,-0.09931780985645158,0.10671743197772107,265
DLAT,0.0032633570442566233,0.9578334032987249,265
FGF23,-0.11854295201274061,0.05392750516223963,265
FGF6,-0.07589973271315405,0.21813798202932302,265
CCND2,-0.03597205466707301,0.5598911754276691,265
GPR107,0.06036065890287251,0.32765501332314995,265
NALCN,-0.030956912342562835,0.6158926177579671,265
BTBD17,-0.04234238814433594,0.49250276281477945,265
TH,-0.06845827265738895,0.26680299467119845,265
SCNN1G,-0.22110670746394878,0.0002863579490030632,265
DRP2,0.023999103661798707,0.6973602608662735,265
TSPAN32,0.023594126243797888,0.7022224524297087,265
LHX2,-0.10459509122621229,0.08926272214329549,265
GMPR,-0.05974738895937126,0.3326025392151204,265
GLRA1,0.08186412146966615,0.18398571943708938,265
MID2,0.04103072561533328,0.5060156537103483,265
TRIM25,-0.11122949835422576,0.07064714637914055,265
DGKE,0.026883922896554564,0.6630917868616758,265
SCPEP1,-0.05553962199686273,0.36783249765497716,265
HDDC2,0.007650397449765527,0.901352859097009,265
TPD52L1,-0.030112457041811116,0.6255578494848549,265
PEMT,0.02046167750504153,0.7402275053945161,265
CDH1,-0.06773311802913747,0.2719141576268608,265
CDH4,-0.027993741585056815,0.6500881135748089,265
BCL6B,-0.08846370569867955,0.15097555687520853,265
ALOX12,-0.01943601415578945,0.7528152129993858,265
COMT,-0.03489286723232082,0.5717324888760955,265
RTCA,0.04191838710558508,0.4968497166080237,265
DBT,-0.011550562137773442,0.8515454494657552,265
DAZAP2,-0.025944027057802656,0.6741841805977455,265
MCTS1,-0.0037150874285075404,0.9520030691930789,265
REM1,-0.0811924909269148,0.18762206916731955,265
RNF17,-0.0023563494990047826,0.9695463094030554,265
TRAPPC10,-0.042862474589587,0.487198531406672,265
CCM2,0.013807279453528023,0.8229795684427044,265
TBRG4,-0.013956244077028328,0.821101698296976,265
TMPRSS2,0.05494086159461151,0.3730270632795585,265
FAP,0.05087497390361765,0.40948298458331556,265
GCG,-0.04408707987108948,0.4748311853876106,265
NDUFA9,-0.08441264178167134,0.1706591660747136,265
EGFL6,-0.06500854861663194,0.2917110210747358,265
