gene,spearman_r,p_value,n_samples
GNAI3,0.021185542396292997,0.731384918420159,265
CDC45,0.027858641634306545,0.6516655192399264,265
SCML2,0.021312259056543253,0.7298405776726224,265
APOH,0.012576547921275527,0.8385319790770576,265
NARF,0.017822553168786174,0.7727485381510603,265
CAV2,-0.06782759126438767,0.27124452434311724,265
KLF6,0.15705804560956876,0.010450841782387666,265
SCMH1,-0.00434609125575882,0.9438632549637294,265
TBX2,0.02803049908955689,0.6496592080378312,265
TBX4,0.019029102132288624,0.7578275157880044,265
NGFR,0.0018765673350038088,0.9757449185103861,265
WNT3,0.06082657639412346,0.32392815924685736,265
WNT9A,0.04514434177684162,0.46429322003503803,265
FER,-0.02631837322205342,0.6697576394711986,265
XPO6,-0.02292926682029654,0.7102310670730391,265
TFE3,-0.022941519321796562,0.71008318724914,265
AXIN2,0.02209835375804485,0.7202847089204623,265
BRAT1,0.0516333310581048,0.4025279956076184,265
GNA12,0.07525615395015274,0.2220775459808771,265
SLC22A18,0.08885578574668035,0.14916579941956612,265
PIH1D2,0.09960090712795215,0.10571741506589713,265
DLAT,0.013841457484028095,0.8225486255910366,265
FGF23,0.019986409420540564,0.7460519851119347,265
FGF6,0.0649908147328819,0.2918429531383249,265
CCND2,0.11254374035722843,0.06736450821446045,265
GPR107,-0.0008676705667517609,0.988783799807234,265
NALCN,0.1460253128772964,0.01737632391931567,265
BTBD17,0.10793325301646908,0.07945670319977371,265
TH,0.0816458334824157,0.1851618401938169,265
SCNN1G,-0.054019989376609644,0.3811037664930339,265
DRP2,-0.005789629393011751,0.9252651810478287,265
TSPAN32,-0.03488899802132081,0.5717751556805273,265
LHX2,0.03504602350107113,0.5700448047537616,265
GMPR,0.062419401589126684,0.3113954624737092,265
GLRA1,-0.0700598035771422,0.2557487819773485,265
MID2,0.07156976316989526,0.24562024904946067,265
TRIM25,0.013389727099777177,0.828248637758039,265
DGKE,0.022435942417795535,0.7161941337744469,265
SCPEP1,0.1088370362192209,0.07695721859509802,265
HDDC2,0.1390352607715322,0.02359651074144468,265
TPD52L1,0.05884973200736945,0.3399303638489378,265
PEMT,-0.10037668393345371,0.10301490255845903,265
CDH1,0.13703455625027813,0.025697734962927984,265
CDH4,0.1523340614128092,0.013042670783482231,265
BCL6B,0.09697758206994683,0.11527210870689743,265
ALOX12,0.09634754554544554,0.11766448012773069,265
COMT,0.09374808062194027,0.12794690038679726,265
RTCA,0.0066643935132635265,0.9140140852527583,265
DBT,0.04160498101458444,0.500075846694177,265
DAZAP2,0.12280521036349923,0.04579916536666248,265
MCTS1,0.06223883840912633,0.3127999763658531,265
REM1,0.07063341410789335,0.25186763751584706,265
RNF17,0.018262998354287067,0.7672916768627351,265
TRAPPC10,-0.015680622446031824,0.7994407267143704,265
CCM2,0.08224459388466693,0.18194892406981267,265
TBRG4,0.09158486923868589,0.13702205390667538,265
TMPRSS2,0.04678940132034496,0.44815700334083663,265
FAP,-0.06162169925462507,0.3176316736254609,265
GCG,0.09159679930593591,0.13697068514143457,265
NDUFA9,0.0600140420841218,0.3304454631929935,265
EGFL6,0.025031538130300804,0.6850209437833065,265
LCK,0.04189323723408503,0.4971081959431457,265
TSSK3,0.09214268049118703,0.13463598299924479,265
CTTNBP2,-0.0013384245717527165,0.9826992404994334,265
GALNT1,-0.02441117463329955,0.692425555567503,265
MYF5,-0.030797307388812506,0.6177143791235638,265
MKRN2,0.036338662409323756,0.5558956751059458,265
PPARG,0.026831366113804454,0.6637101409794944,265
RAF1,0.08522195174917296,0.16658135097318283,265
SEPTIN1,-0.01149478101252333,0.8522541568509666,265
PDGFB,0.03365020563281829,0.5855123971855063,265
ACVRL1,0.07230684786539676,0.24077897470308804,265
TAMALIN,0.04837642269884819,0.4328948172833441,265
ACVR1B,0.025040243855050822,0.684917244685134,265
TOM1L2,0.03134705778506362,0.6114493350148749,265
GPA33,0.023490302415297676,0.7034709331547562,265
ZNF385A,0.05227916686085611,0.39666084584784744,265
ITGA5,0.06808779570413818,0.2694059871509774,265
GABRA2,0.01691361101803433,0.7840449109574492,265
WDR77,0.029190939955309244,0.6361785491794855,265
ADORA3,0.022764825352796204,0.7122168178992323,265
ATP5PB,0.002970586745256029,0.9616133100675524,265
SOX9,0.0051499198410104524,0.9335025849566354,265
HNRNPD,0.04213538535583552,0.49462246534234644,265
C1D,0.03573087384807252,0.5625272297002973,265
GM2A,0.04614356551759366,0.45445386583036274,265
KRIT1,0.12363193178050091,0.044347781681174245,265
CLCN4,-0.008438104322517126,0.8912556981650495,265
GRM6,0.04084726052708291,0.507921073530372,265
SEMA4F,0.046948038971345286,0.44661786811370763,265
HK2,0.04523784770934182,0.46336749639055663,265
MYO18A,-0.11433002610223207,0.06310397312206491,265
SEZ6,0.022994720973046667,0.7094412034423232,265
HAAO,0.028631838965808114,0.6426589400211008,265
CD52,-0.023750506855048203,0.700343484713021,265
ABHD15,0.03809786367732732,0.5369176908652702,265
HOXB6,0.0040697651035082605,0.9474271359986479,265
LOXL3,0.1355465221865251,0.027363090117931404,265
BTN1A1,-0.033593779639068184,0.5861417294441025,265
KAT2B,0.013597374756777598,0.825627367620515,265
RAB5B,0.02180880780154426,0.7237995072292007,265
CRYBA1,0.03992155179533103,0.5175920360838321,265
DNMT3L,-0.11758693446148864,0.05590632926225124,265
AIRE,0.018334578757787216,0.7664059118344634,265
SPG7,-0.06506787651863206,0.29126993808056745,265
CHMP1A,0.0411916203060836,0.5043477270399115,265
RPA1,-0.02963138514081014,0.6310928593684838,265
SERPINF1,0.03686100589432482,0.5502268885589526,265
TUBGCP3,0.05994278411487167,0.33102101732786937,265
OPRM1,-0.009368004699519013,0.8793584913350475,265
POLR3D,0.1496849416148038,0.014730757078680807,265
TCF7,-0.019961259549040513,0.7463606061106858,265
DDX3X,0.031106844268813136,0.6141834067041216,265
IL12RB1,0.008458740114517168,0.8909914080936076,265
SLC5A5,0.10967375309797259,0.07470037907936941,265
KCNN3,0.06484636418888162,0.2929190845678609,265
CA4,0.017681004533035886,0.7745046331813533,265
TXNRD3,0.0854811888861735,0.16529067539096276,265
FASLG,0.017158016179534823,0.7810028735449301,265
ZNF512B,0.08542218341842338,0.16558378873172558,265
DNAJC5,0.031300949687313534,0.6119737142192511,265
TPD52L2,0.051728126727604996,0.4016635915366431,265
FMR1,0.04270222476733667,0.48882960232166517,265
BCL11A,0.0305954635483121,0.6200216141709599,265
IL4,0.03354412476456808,0.5866957997532496,265
PXMP4,0.15571962103781606,0.011134402229730209,265
DLG3,-0.09979211063820254,0.10504619703924652,265
GNB1L,0.008389739185017028,0.8918751750392768,265
DBH,0.08063210020041364,0.1906962862102,265
MMP11,0.1347649415645235,0.028274310266247195,265
SMARCB1,0.11817150775673985,0.054689326521663986,265
VPREB3,0.0030054096442560995,0.9611636710204816,265
HIP1R,0.061619442214875066,0.3176494332071473,265
NSUN5,0.06348601408812886,0.30318328154050234,265
TOP1MT,0.04268223384383663,0.4890332810040464,265
HOXA10,0.042008668695585255,0.495922429094105,265
HOXA4,0.16689648187983874,0.006466073504183918,265
MMP14,-0.0712466840513946,0.2477635304665242,265
