CancerType,Fold,c_index,filename,model
CESC,5,54.6599,fold5_output_CESC_survival_virchow_redo.txt,Virchow
CESC,1,62.8842,fold1_output_CESC_survival_virchow_redo.txt,Virchow
CESC,3,38.0829,fold3_output_CESC_survival_virchow_redo.txt,Virchow
CESC,2,46.747,fold2_output_CESC_survival_virchow_redo.txt,Virchow
CESC,4,56.9948,fold4_output_CESC_survival_virchow_redo.txt,Virchow
CESC,1,54.3735,fold1_output_CESC_survival_plip_redo.txt,PLIP
CESC,3,47.6684,fold3_output_CESC_survival_plip_redo.txt,PLIP
CESC,2,55.9036,fold2_output_CESC_survival_plip_redo.txt,PLIP
CESC,5,58.9421,fold5_output_CESC_survival_plip_redo.txt,PLIP
CESC,4,54.4041,fold4_output_CESC_survival_plip_redo.txt,PLIP
CESC,5,62.7204,fold5_output_CESC_survival_UNI_redo.txt,UNI
CESC,2,54.4578,fold2_output_CESC_survival_UNI_redo.txt,UNI
CESC,1,49.8818,fold1_output_CESC_survival_UNI_redo.txt,UNI
CESC,3,37.0466,fold3_output_CESC_survival_UNI_redo.txt,UNI
CESC,4,53.6269,fold4_output_CESC_survival_UNI_redo.txt,UNI
CESC,2,55.4217,fold2_output_CESC_survival_SQUALL_redo.txt,SQUALL
CESC,5,61.2091,fold5_output_CESC_survival_SQUALL_redo.txt,SQUALL
CESC,4,56.7358,fold4_output_CESC_survival_SQUALL_redo.txt,SQUALL
CESC,1,67.1395,fold1_output_CESC_survival_SQUALL_redo.txt,SQUALL
CESC,3,57.772,fold3_output_CESC_survival_SQUALL_redo.txt,SQUALL
