variable,coef,HR,CI_lower,CI_upper,p_two_sided,p_value,p_type,n_samples,n_events,fit_type,model_adjusted
age,0.010014378131495555,1.0100646898226922,0.9923525458662675,1.0280929714711498,0.2672289857740558,0.2672289857740558,two-sided Wald,268,67,clinical_plus_model_full,UNI
stage_II_vs_I,-0.19459239225436212,0.8231701201998608,0.449121619771127,1.5087428815721757,0.5290223741928912,0.5290223741928912,two-sided Wald,268,67,clinical_plus_model_full,UNI
stage_III_vs_I,0.26054720834577566,1.2976399718429157,0.6915138344227153,2.435048169253474,0.41717950686187766,0.41717950686187766,two-sided Wald,268,67,clinical_plus_model_full,UNI
stage_IV_vs_I,1.2932879950475646,3.6447507983635146,1.9685484384773204,6.748225302724509,3.8719948670387655e-05,3.8719948670387655e-05,two-sided Wald,268,67,clinical_plus_model_full,UNI
UNI,0.35831709099417025,1.430919280167522,0.8709628350887267,2.3508810064743497,0.15719892829610163,0.07859946414805082,"one-sided Wald, HR > 1",268,67,clinical_plus_model_full,UNI
age,0.009483017477711407,1.0095281237564162,0.9918831969205301,1.0274869418287005,0.2918503910514001,0.2918503910514001,two-sided Wald,268,67,clinical_plus_model_full,PLIP
stage_II_vs_I,-0.18664814244570763,0.8297356337800518,0.45240741953970903,1.5217726151901805,0.5464103419822444,0.5464103419822444,two-sided Wald,268,67,clinical_plus_model_full,PLIP
stage_III_vs_I,0.22489669365499154,1.2521933499915732,0.6683010761206714,2.346230227347405,0.48268476312204056,0.48268476312204056,two-sided Wald,268,67,clinical_plus_model_full,PLIP
stage_IV_vs_I,1.3237126628489428,3.7573452701022383,2.0352717780062903,6.936490561761246,2.3185671105793576e-05,2.3185671105793576e-05,two-sided Wald,268,67,clinical_plus_model_full,PLIP
PLIP,-0.28209847685965495,0.7541994096865526,0.4256603429842875,1.3363160532728824,0.3337500951612942,0.8331249524193529,"one-sided Wald, HR > 1",268,67,clinical_plus_model_full,PLIP
age,0.008164461302631012,1.0081978814072807,0.9905596365497179,1.0261501989063848,0.36459253741532405,0.36459253741532405,two-sided Wald,268,67,clinical_plus_model_full,Virchow
stage_II_vs_I,-0.25582249849609245,0.7742793923520304,0.42256490485490533,1.4187372650525263,0.40769426141033716,0.40769426141033716,two-sided Wald,268,67,clinical_plus_model_full,Virchow
stage_III_vs_I,0.3056626053263785,1.3575242078351695,0.7211857708292498,2.5553360165987358,0.3435661222708406,0.3435661222708406,two-sided Wald,268,67,clinical_plus_model_full,Virchow
stage_IV_vs_I,1.3406100372558096,3.821373974950529,2.0670089521922796,7.064748820241587,1.9040131174405763e-05,1.9040131174405763e-05,two-sided Wald,268,67,clinical_plus_model_full,Virchow
Virchow,-0.687439560387587,0.5028619698350495,0.284087342524773,0.8901141404578256,0.018299399872153482,0.9908503000639233,"one-sided Wald, HR > 1",268,67,clinical_plus_model_full,Virchow
age,0.011620563327738146,1.0116883443706193,0.994117727418153,1.02956951466257,0.1936084108840947,0.1936084108840947,two-sided Wald,268,67,clinical_plus_model_full,STORM
stage_II_vs_I,-0.12559019444010291,0.8819762114888912,0.47885974837338613,1.6244464903860567,0.6869276836897529,0.6869276836897529,two-sided Wald,268,67,clinical_plus_model_full,STORM
stage_III_vs_I,0.25368391565873327,1.2887643816406211,0.6882102826152553,2.4133810164444576,0.42803145741671533,0.42803145741671533,two-sided Wald,268,67,clinical_plus_model_full,STORM
stage_IV_vs_I,1.422755008993393,4.148533959225625,2.235929811409049,7.697170959048374,6.437070908216728e-06,6.437070908216728e-06,two-sided Wald,268,67,clinical_plus_model_full,STORM
STORM,0.5479691332877709,1.7297365839224639,1.0966722521920458,2.728243231995084,0.018429633341827973,0.009214816670913986,"one-sided Wald, HR > 1",268,67,clinical_plus_model_full,STORM
