Unnamed: 0,ENSG_ID,ENSG_start_bp,ENSG_end_bp,ENSG_chromosome,ENSG_type,HGNC_symbol,ENSMUSG_ID,ENSMUSG_start_bp,ENSMUSG_end_bp,ENSMUSG_chromosome,ENSMUSG_type,MGI_symbol
10119,ENSG00000036549,77562416,77683419,1,protein_coding,ZZZ3,ENSMUSG00000039068,152101110,152168463,3,protein_coding,Zzz3
13414,ENSG00000074755,4004445,4143030,17,protein_coding,ZZEF1,ENSMUSG00000055670,72687052,72817946,11,protein_coding,Zzef1
6745,ENSG00000159840,143381295,143391111,7,protein_coding,ZYX,ENSMUSG00000029860,42326564,42337147,6,protein_coding,Zyx
8670,ENSG00000162378,52726453,52827336,1,protein_coding,ZYG11B,ENSMUSG00000034636,108086921,108158293,4,protein_coding,Zyg11b
8672,ENSG00000203995,52842511,52894998,1,protein_coding,ZYG11A,ENSMUSG00000034645,108038935,108075245,4,protein_coding,Zyg11a
8609,ENSG00000070476,126437601,126475891,3,protein_coding,ZXDC,ENSMUSG00000034430,90346474,90380472,6,protein_coding,Zxdc
1986,ENSG00000122952,56357227,56361273,10,protein_coding,ZWINT,ENSMUSG00000019923,72490677,72510796,10,protein_coding,Zwint
7968,ENSG00000174442,66504959,66550130,15,protein_coding,ZWILCH,ENSMUSG00000032400,64044426,64080386,9,protein_coding,Zwilch
7880,ENSG00000086827,113733187,113773735,11,protein_coding,ZW10,ENSMUSG00000032264,48966913,48990075,9,protein_coding,Zw10
10279,ENSG00000153975,116635618,116668794,6,protein_coding,ZUP1,ENSMUSG00000039531,33795138,33827265,10,protein_coding,Zup1
14693,ENSG00000185453,48170680,48197620,19,protein_coding,ZSWIM9,ENSMUSG00000070814,12992894,13012647,7,protein_coding,Zswim9
2966,ENSG00000214655,73785606,73801797,10,protein_coding,ZSWIM8,ENSMUSG00000021819,20757620,20773687,14,protein_coding,Zswim8
